item number,section,subsection,item,type,price
1,kirana,rice,basmati rice,1kg,191
2,kirana,rice,basmati rice ,500g,100
3,kirana,rice,sona masouri rice,1kg,85
4,kirana,rice,sona masouri rice,500g,50
5,kirana,rice,brown rice,1kg,80
6,kirana,rice,brown rice,500g,40
7,kirana,flours,multigrain atta,1kg,50
8,kirana,flours,multigrain atta,500g,30
9,kirana,flours,maida,1kg,46
10,kirana,flours,maida,500g,33
11,kirana,flours,atta,1kg,65
12,kirana,flours,atta,500g,45
13,kirana,flours,besan,1kg,160
14,kirana,flours,besan,500g,85
15,kirana,flours,ragi flour,500g,30
16,kirana,flours,ragi flour,250g,20
17,kirana,dal,tuar dal,1kg,230
18,kirana,dal,tuar dal,500g,80
19,kirana,dal,tuar dal,250g,40
20,kirana,dal,moong dal,1kg,200
21,kirana,dal,moong dal,500g,99
22,kirana,dal,moong dal,250g,40
23,kirana,dal,chana dal,500g,70
24,kirana,dal,chana dal,250g,35
25,kirana,dal,urad dal,500g,112
26,kirana,dal,urad dal,250g,60
27,instant and frozen foods,frozen food,fries,1kg,330
28,instant and frozen foods,frozen food,fries,500g,126
29,instant and frozen foods,frozen food,fries,250g,50
30,instant and frozen foods,frozen food,potato shots,1kg,200
31,instant and frozen foods,frozen food,potato shots,500g,100
32,instant and frozen foods,frozen food,potato shots,250g,50
33,instant and frozen foods,frozen food,momos,12pc pack,300
34,instant and frozen foods,frozen food,momos,8pc pack,200
35,instant and frozen foods,frozen food,chicken momos,12pc pack,200
36,instant and frozen foods,frozen food,chicken momos,8pc pack,150
37,instant and frozen foods,instant food,instant noodles,8pc pack,96
38,instant and frozen foods,instant food,instant noodles,4pc pack,48
39,instant and frozen foods,instant food,instant noodles,2pc pack,24
40,instant and frozen foods,instant food,insant noodles,1pc pack,12
41,instant and frozen foods,instant food,cup noodles,1 pc,48
42,instant and frozen foods,instant food,dosa and idly batter,750g,71
43,instant and frozen foods,instant food,dosa and idly batter,500g,50
44,instant and frozen foods,instant food,sweet corn soup,42gm,55
45,instant and frozen foods,instant food,manchow soup,42g,55
46,instant and frozen foods,instant food,tomato soup,42g,55
47,juices and cold drinks,cold drink,thumps up,250ml,35
48,juices and cold drinks,cold drink,coco cola,250ml,35
49,juices and cold drinks,cold drink,mountain dew,250ml,40
50,juices and cold drinks,cold drink,pepsi,250ml,40
51,juices and cold drinks,energy drink,red bull,250ml,125
52,juices and cold drinks,energy drink,beats energy,250ml,99
53,juices and cold drinks,energy drink,sting,200ml,20
54,juices and cold drinks,juice,apple juice,1L,104
55,juices and cold drinks,juice,apple juice,200ml,50
56,juices and cold drinks,juice,orange juice,1L,110
57,juices and cold drinks,juice,orange juice,200ml,50
58,juices and cold drinks,juice,guava juice,1L,105
59,juices and cold drinks,juice,guava juice,200ml,50
60,dairy bread and eggs,dairy,milk,1L,60
61,dairy bread and eggs,dairy,milk,500ml,30
62,dairy bread and eggs,dairy,milk,250ml,20
63,dairy bread and eggs,dairy,butter,500g,300
64,dairy bread and eggs,dairy,butter,100g,57
65,dairy bread and eggs,dairy,paneer,200g,110
66,dairy bread and eggs,dairy,cheese,200g,140
67,dairy bread and eggs,dairy,curd,500g,45
68,dairy bread and eggs,bread,brown bread,450g,50
69,dairy bread and eggs,bread,sandwich bread,400,50
70,dairy bread and eggs,bread,buns,6pc,30
71,dairy bread and eggs,eggs,eggs,12pc,150
72,dairy bread and eggs,eggs,eggs,6pc,50
73,snacks,chips,potato chips,100g,50
74,snacks,chips,potato chips,50g,25
75,snacks,chips,potato chips,20g,10
76,snacks,chips,banana chips,50g,50
77,snacks,chips,banana chips,20g,25
78,snacks,chips,nachos,100g,44
79,snacks,chips,nachos,50g,36
80,dry fruits oils and masalas,dry fruits,almonds,250g,277
81,dry fruits oils and masalas,dry fruits,almonds,100g,150
82,dry fruits oils and masalas,dry fruits,pista,250g,396
83,dry fruits oils and masalas,dry fruits,pista,100g,200
84,dry fruits oils and masalas,dry fruits,cashews,250g,221
85,dry fruits oils and masalas,dry fruits,cashews,100g,100
86,dry fruits oils and masalas,oil,sunflower oil,1L,115
87,dry fruits oils and masalas,oil,sunflower oil,500ml,55
88,dry fruits oils and masalas,oil,groundnut oil,1L,181
89,dry fruits oils and masalas,oil,groundnut oil,500ml,90
90,dry fruits oils and masalas,oil,palm oil,1L,100
91,dry fruits oils and masalas,oil,palm oil,500ml,50
92,dry fruits oils and masalas,masala,red chilli,100g,81
93,dry fruits oils and masalas,masala,tumeric,100g,40
94,dry fruits oils and masalas,masala,dhaniya,100g,37
95,dry fruits oils and masalas,masala,salt,500g,28
96,dry fruits oils and masalas,fruits,apple,1kg,300
97,dry fruits oils and masalas,fruits,banana,12pc,49
98,dry fruits oils and masalas,fruits,mango,1kg,180
99,dry fruits oils and masalas,fruits,orange,1kg,60
100,dry fruits oils and masalas,fruits,watermelon,5kg,75
